"Application Name","Publisher","App Type","Enabled","Signed Last 30 Days","Roles - User Count","Roles - Group Count","Roles - App Count","Admin Consent","Admin Consented To","Users Consented","Users Consented To","App Permissions Assigned","App Permissions Assigned To","Longest Consent Valid Until","ApplicationId","Service Principal ObjectId","Homepage","ReplyURLs","Tags"
"Slack - Ratchev","Ratchev","AAD App Gallery SAML","True","False","2","0","0","N/A","","0","","N/A",,,"fada2cb2-2069-4ff1-a03f-0820129bde70","8d9d9250-4228-4ac3-b756-83571e26ac93","https://*.slack.com/sso/saml?metadata=slack|ISV9.1|primary|z","[https://ratchev.slack.com/sso/saml][https://*.enterprise.slack.com/sso/saml][https://*.slack.com/sso/saml]","[ea0643d1-22ee-4133-9aac-5ef35d247f5e][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"TodoListClient-DotNet-OBO-CA","IVIRatchev","OIDC/oAuth2.0","True","True","1","0","0","False","","1","TodoListService-OBO-CA","N/A",,"10/8/2019 12:19:30 AM","da01e3b1-d71d-4efa-b0a1-cdf5269a1b7d","93d90e0d-b611-461c-a23f-71e1652e06cd",,"[https://adrianlabs.onmicrosoft.com/TodoListClient-DotNet-OBO-CA][https://TodoListClient]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Desk.com","Ratchev","AAD App Gallery","True","False","0","0","0","N/A","","0","","N/A",,,"0517f16e-14ce-4f1c-96f8-e0e724e4047e","96af5a32-85b0-4226-b595-4cde2017e02d","https://127.0.0.1:444/applications/default.aspx?metadata=deskcom|ISV9.3|primary|z","[https://127.0.0.1:444/applications/default.aspx]","[1a74ee02-fb77-433f-8334-c89bfded449e][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"ADFS 2016 RegOnly","Ratchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"07490a84-52a3-49c4-9253-6e6487c8325c","a118a0e2-d4c2-4dca-aa59-7171537fb443","http://adfs.iviratchev.com/adfs/ls","[http://adfs.iviratchev.com/adfs/ls]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Yoyo","IVIRatchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"63bbf564-9029-4a18-a807-05c8203dc3af","a2559d75-7114-49f9-9e8e-1df8eae2d7a8","http://ivan","[http://ivan]","[WindowsAzureActiveDirectoryIntegratedApp]"
"blab","Ratchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"6386df3d-65b7-424e-bdc8-59e2e43ff115","a596bf0d-2c8c-4125-9ca5-4107c1537a82","https://myblab","[https://myblab]","[WindowsAzureActiveDirectoryIntegratedApp]"
"blabidid","Ratchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"4fa5ee3c-b76c-4f71-b0c7-d636227d2b50","b3a7f439-9721-4e72-bd24-1790f455f3cf","https://ivanratchev","[https://ivanratchev]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Graph Explorer","graphExplorerMT","OIDC/oAuth2.0","True","False","1","0","0","False","","1","Windows Azure Active Directory","N/A",,"11/5/2018 4:47:53 AM","d3ce4cf8-6810-442d-b42e-375e14710095","c36448ba-27e2-432c-aeac-916aba3e899e","https://localhost:44328","[https://graphexplorer2.cloudapp.net][https://localhost:44322/Home/AGS][https://graphexplorer2.cloudapp.net/][http://localhost:44323/][https://graphexplorer.cloudapp.net/][https://graphexplorer.cloudapp.net][http://localhost:3000/][https://graphexplorerbeta.azurewebsites.net/][https://graphexplorer.azurewebsites.net/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Twitter","Ratchev","AAD App Gallery","True","False","0","0","0","N/A","","0","","N/A",,,"e6997011-4d9c-4b4e-bbee-b51b86e5c756","c61ec65c-bbf1-499e-9f98-2f7ce14a4469","https://127.0.0.1:444/applications/default.aspx?metadata=twitter|ISV9.3|primary|z","[https://127.0.0.1:444/applications/default.aspx]","[230848d5-2c87-45d4-b05a-60d29a40fced][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"A1WAGOIDC2","IVIRatchev","OIDC/oAuth2.0","True","True","1","1","0","True","Windows Azure Active Directory;Microsoft Graph","0","","N/A",,"9/11/2019 5:01:52 AM","bce267e7-f0ec-4082-95cb-741eb356f179","ccd72561-46bf-4525-8fb2-d0dd97747094","https://localhost:44350/","[https://localhost:44350/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"my1stnativeapp","Ratchev","OIDC/oAuth2.0","True","False","1","0","0","False","","1","Microsoft Graph","N/A",,"12/9/2018 10:30:38 PM","fc7a0b22-7dff-4ec7-99ef-c6e1c8da3674","ce5a5099-bb8f-4cf6-9e6a-ce8072356414",,"[http://anything]","[WindowsAzureActiveDirectoryIntegratedApp]"
"FMI-SP SampAPP-WSFED","IVIRatchev","AAD App 3d Party + SSO","True","True","2","0","0","N/A","","0","","N/A",,,"85186852-37bc-420a-b5d7-319bfb6f5154","cf9737e8-59e1-4146-8bd3-ce336ca83517","https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z","[https://fmisp-adrianlabs.msappproxy.net/sampapp/]","[8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"Webapp1-Vit","IVIRatchev","OIDC/oAuth2.0","True","False","1","0","0","True","Windows Azure Active Directory;Microsoft Graph","0","","N/A",,"9/11/2019 4:43:12 AM","5af21939-5d39-44bf-a3c4-bd42b1008be9","dc77144b-cf55-4c66-b716-973272d8a639","https://localhost:44352/","[https://localhost:44352/]","[WindowsAzureActiveDirectoryIntegratedApp]"
